Latitude,Longitude,Slide_Name,State,Material Involved,Movement Type,Initiation_Year,History_date
9.608653,77.146307,66th Mile-III,Kerala,Debris,Slide,0,
9.608653,77.146307,65th Mile-I,Kerala,Debris,Slide,0,
9.608653,77.146307,65th Mile-II,Kerala,Debris,Slide,0,
9.608653,77.146307,"65th Mile, Bridge",Kerala,Debris,Slide,0,
9.609313,77.069258,Keerikara,Kerala,Debris,Slide,0,
9.61,77.3,,Tamil Nadu,Soil,Slide,0,
9.61,77.31,,Tamil Nadu,Debris,Slide,0,
9.61,77.42,,Tamil Nadu,Soil,Slide,0,
9.611343,77.148419,66th Mile-I,Kerala,Debris,Flow,0,
9.616867,77.143727,Murukkady,Kerala,Debris,Flow,0,
9.618522,76.91768,Vembala,Kerala,Debris,Flow,0,
9.62,77.34,,Tamil Nadu,Debris,Slide,0,
9.62,77.33,,Tamil Nadu,Soil,Slide,0,
9.62,77.31,,Tamil Nadu,Soil,Slide,0,
9.62,77.3,,Tamil Nadu,Debris,Slide,0,
9.62,77.28,,Tamil Nadu,Debris,Slide,0,
9.621675,77.161217,"Amravathy, 1st Mile",Kerala,Debris,Slide,0,
9.627685,77.138111,Attapllom-III,Kerala,Debris,Flow,0,
9.629002,77.137118,Pathumuri,Kerala,Debris,Slide,0,
9.629116,77.153759,Ottakathalamedu-V,Kerala,Debris,Slide,0,
9.629298,77.163697,"Amravathy, 2nd Mile",Kerala,Debris,Slide,0,
9.629553,77.1546,Mother Theresa  Nagar,Kerala,Debris,Slide,0,
9.6306,76.889,Njarukkadu,Kerala,Debris,Flow,2010,
9.630856,76.87125,Chathanplappally slide,Kerala,Rock,Flow,0,
9.63221,77.156202,Attapallom -II,Kerala,Debris,Slide,0,
9.632692,77.162881,AKG Padi,Kerala,Debris,Slide,0,
9.633309,77.156819,Ottakathalamedu-III,Kerala,Debris,Slide,0,
9.633776,77.157286,Ottakathalamedu-II,Kerala,Debris,Slide,0,
9.63423,77.154065,Ottakathalamedu-IV,Kerala,Debris,Slide,0,
9.634359,77.157909,Ottakathalamedu-I,Kerala,Debris,Flow,0,
9.635213,77.152987,Attapallom -I,Kerala,Debris,Slide,0,
9.635735,77.151807,Anappara,Kerala,Debris,Slide,0,
9.636032,77.163613,"AKG Padi, 3rd Mile",Kerala,Debris,Slide,0,
9.637009,77.163437,"3rd Mile, Amarvathy",Kerala,Debris,Slide,0,
9.637785,77.170792,5th Mile-II,Kerala,Debris,Slide,0,
9.638197,76.887006,Njerkkadu  slide,Kerala,Debris,Flow,0,
9.638944,76.868236,Kunthanpara slide,Kerala,Rock,Flow,0,
9.640687,77.166384,5th Mile -I,Kerala,Debris,Slide,0,
9.642869,76.893061,Kodunga slide 2,Kerala,Debris,Flow,0,
9.643717,76.868422,Kunthanpara  slide 2,Kerala,Debris,Slide,0,
9.644319,76.896961,Vallyantha  slide,Kerala,Debris,Flow,0,
9.644494,76.867875,Kunthanpara slide 2,Kerala,Rock,Flow,0,
9.645325,76.905017,Mlakkara  slide,Kerala,Debris,Flow,0,
9.645962,77.076031,Chengara,Kerala,Debris,Slide,0,
9.646878,76.902028,Vallyantha  slide,Kerala,Debris,Flow,0,
9.648006,76.889603,Kodunga slide 1,Kerala,Debris,Flow,0,
9.648325,77.094746,Kallumedu,Kerala,Debris,Slide,0,
9.648758,76.888622,Vazhathara Granite Quarry Slide,Kerala,Rock,Flow,0,
9.65,77.36,,Tamil Nadu,Soil,Slide,0,
9.650014,76.889789,Vazhathara Granite Quarry Slide 2,Kerala,Rock,Flow,0,
9.653094,76.903419,Melethadam slide 1,Kerala,Debris,Slide,0,
9.653403,76.903175,Melethadam slide 2,Kerala,Rock,Flow,0,
9.656433,76.903892,Melethadam slide 3,Kerala,Rock,Flow,0,
9.65845,76.901369,Melethadam slide 6,Kerala,Debris,Slide,0,
9.658569,76.902028,Melethadam slide 5,Kerala,Debris,Slide,0,
9.658686,76.901519,Melethadam slide 7,Kerala,Debris,Slide,0,
9.659356,76.896719,,Kerala,Debris,Slide,0,
9.662285,77.092683,Kannimala,Kerala,Debris,Flow,0,
9.66703,77.058442,Pullumeedu II,Kerala,Debris,Slide,0,
9.667328,77.058371,Pullumeedu,Kerala,Debris,Slide,0,
9.676364,77.049871,Edappokkulam,Kerala,Debris,Slide,0,
9.68,77.39,,Tamil Nadu,Soil,Slide,0,
9.685096,77.05283,Ambalameedu,Kerala,Debris,Flow,0,
9.69,77.39,,Tamil Nadu,Soil,Slide,0,
9.6963,76.8678,Vellikulam,Kerala,Debris,Flow,2010,
9.699908,76.834475,Mangalagiri Rock-cum-debris Flow,Kerala,Rock,Flow,0,
9.7,77.4,,Tamil Nadu,Soil,Slide,0,
9.700267,76.86585,Vellikulam slide,Kerala,Debris,Slide,0,
9.7005,77.1069,Pottakalli,Kerala,Rock,Slide and flow,2010,
9.701489,76.882814,Attikalam stream bank failure,Kerala,Debris,Slide,0,
9.7015,77.1066,East Mattukada,Kerala,Rock,Slide and flow,2010,
9.707703,76.885786,Attikalam debris flow,Kerala,Debris,Flow,0,
9.708394,76.849672,Inchappara debris flow,Kerala,Debris,Flow,0,
9.71,77.41,,Tamil Nadu,Soil,Slide,0,
9.715642,77.064433,Kalthotti II,Kerala,Debris,Slide,0,
9.715763,77.063932,Kalthotti,Kerala,Debris,Slide,0,
9.72,77.42,,Tamil Nadu,Debris,Slide,0,
9.72,77.41,,Tamil Nadu,Soil,Slide,0,
9.72,77.74,Melpatti rock fall,Tamil Nadu,Rock,Fall,0,
9.728494,76.8422,Vellani rock cum debris flow,Kerala,Rock,Flow,0,
9.73,77.42,,Tamil Nadu,Soil,Slide,0,
9.731456,76.815833,Muttam Rock-cum-debris Flow,Kerala,Rock,Flow,0,
9.731683,76.821975,"Chonamala - Mel Adukkam cut slope
failure 1",Kerala,Debris,Slide,0,
9.733878,76.822311,Chonamala debris flow,Kerala,Debris,Flow,0,
9.73715,76.825961,"Chonamala - Mel Adukkam cut slope
failure 2",Kerala,Debris,Slide,0,
9.7386,76.8754,Edadumuttam 2,Kerala,Debris,Avalanche,2007,
9.73867,76.87547,Edadumuttam 2nd Landslide,Kerala,Debris,Slide,2007,
9.7409,76.8724,Edadumuttam1,Kerala,Debris,Slide,2007,
9.74092,76.87242,Edadumuttam 1st Landslide,Kerala,Rock,Slide,2007,
9.741439,76.841072,Periyamala debris flow,Kerala,Debris,Flow,0,
